蒼猫の巣
end
円卓P,azoth,丘ガエル,sf3frog,ダイスベーダーP,3156,ＳＩＭ,ほげ,Tak_ukuk,ao,出負けPOP,POP,ジリP,8585yhyh
ジリP,ダイスベーダーP,出負けPOP
7
end
5
ダイスベーダーP
Tak_ukuk,円卓P,ＳＩＭ,出負けPOP,ジリP
Tak_ukuk,say,purple,不信任だしたふたりがあやしいなｗ,1332850729
出負けPOP,say,maroon,どうせどっちがスパイでも　成功しか出せないしねｗｗｗｗ,1332850728
円卓P,say,black,SIMさんとTakPが不信任か。,1332850724
ＳＩＭ,say,green,そして、成功したらしい。,1332850720
ダイスベーダーP,say,navy,お、さくっと成功,1332850717
ジリP,say,olive,ほうほう。不信任が二人か,1332850715
system,warning,red,【丘ガエル】が、リーダーとして選出されました。,1332850705
system,warning,red,このミッションは【成功】しました。,1332850705
出負けPOP,say,maroon,まぁM1は手順どうり,1332850702
Tak_ukuk,say,purple,5人投票済みか,1332850700
ＳＩＭ,say,green,なるほど、こういう風になるのか。,1332850692
出負けPOP,say,maroon,投票したー,1332850689
system,warning,red,【円卓P】が選んだチーム(円卓P、丘ガエル)は信任されました。,1332850689
system,message,red,ジリPさんは、【信任】に投票しました。,1332850689
system,message,red,出負けPOPさんは、【信任】に投票しました。,1332850689
system,message,red,Tak_ukukさんは、【不信任】に投票しました。,1332850689
system,message,red,ＳＩＭさんは、【不信任】に投票しました。,1332850689
system,message,red,ダイスベーダーPさんは、【信任】に投票しました。,1332850689
system,message,red,丘ガエルさんは、【信任】に投票しました。,1332850689
system,message,red,円卓Pさんは、【信任】に投票しました。,1332850689
ＳＩＭ,dialog,green,ためしに独り言,1332850682
出負けPOP,say,maroon,効率とかかんがえずに　まわしますか,1332850675
ジリP,say,olive,んじゃまあみんな投票しようず,1332850671
ＳＩＭ,say,green,チャットの向き逆向きにならないかなぁ。,1332850669
出負けPOP,say,maroon,特になにも,1332850664
出負けPOP,say,maroon,じゃあ,1332850656
出負けPOP,say,maroon,今回は,1332850645
出負けPOP,say,maroon,じゃあ,1332850640
ダイスベーダーP,say,navy,そうしよか。全体的にはまだまだわかんないし,1332850625
丘ガエル,say,teal,操作試しながら一回りしますか,1332850624
出負けPOP,say,maroon,あるあるｗｗ,1332850621
ジリP,say,olive,あいよ,1332850616
ＳＩＭ,say,green,なんか、人狼で毎晩遊んでた頃を思い出すわ！,1332850611
ＳＩＭ,say,green,捨てゲームでイロイロ試してみましょ！,1332850593
出負けPOP,say,maroon,を出してから話合わない？,1332850578
円卓P,say,black,リセットとかはなさそうなのよねー,1332850577
Tak_ukuk,say,purple,だなー。1日すすめてみて操作テストだな,1332850577
ダイスベーダーP,say,navy,あ、そうか。操作慣れのために一回回すのがいいか。,1332850571
出負けPOP,say,maroon,先に理由＞投票予定,1332850569
出負けPOP,say,maroon,M１以外は,1332850558
ダイスベーダーP,say,navy,一回廃村がいいかなー。さすがにこれでTakPがスパイだとびびるしw,1332850553
丘ガエル,say,teal,円卓P、リセット操作できそう？,1332850552
出負けPOP,say,maroon,あとどうだろう　コレは提案だけど,1332850548
ＳＩＭ,say,green,とりあえず、一日すすめようよ！！,1332850545
ジリP,say,olive,あー、そうね　廃村するの？,1332850523
出負けPOP,say,maroon,ｗｗ,1332850521
ダイスベーダーP,say,navy,でも、スパイにはスパイって出てるんじゃない？とか言うと疑われそうなのでみんな黙っているというw,1332850510
丘ガエル,say,teal,表示されてないっていうだけで色々情報が,1332850493
Tak_ukuk,say,purple,ああ、それでいいのね。納得したのでリセットかなｗ,1332850478
丘ガエル,say,teal,スパイの人だけ出てるってなると,1332850477
ダイスベーダーP,say,navy,多分TakP以外は全員想像がついてるw,1332850472
ＳＩＭ,say,green,ルール的に、スパイは顔合わせしてるはず。,1332850472
出負けPOP,say,maroon,さんく＞SIMさん,1332850468
出負けPOP,say,maroon,たてえそうだとしても答えられないよねｗ,1332850456
ＳＩＭ,say,green,ひんと、陣営が出てない＞レジスタンス。,1332850448
出負けPOP,say,maroon,もっとも,1332850446
出負けPOP,say,maroon,スパイにはスパイってわかる何かが表示されてるのだろうか,1332850441
ダイスベーダーP,say,navy,んー、さすがにやり直す？,1332850438
円卓P,say,black,丘さんは次のリーダーだから動きを見やすい。,1332850429
出負けPOP,say,maroon,リーダーとチームはでてますなー,1332850423
丘ガエル,say,teal,一回操作説明で終わったほうがいいかもね,1332850421
Tak_ukuk,say,purple,ってなに、もう始まっちゃうの？右に陣営でてないんだが,1332850403
ＳＩＭ,say,green,皆、投票してね！,1332850402
円卓P,say,black,まあ、自分は鉄板。,1332850396
丘ガエル,say,teal,これ、自動更新ないのか、ずっと待ってしまっていたｗ,1332850393
Tak_ukuk,say,purple,一応聞きたいねえｗ,1332850348
ジリP,say,olive,惨劇チームか,1332850331
出負けPOP,say,maroon,一応理由が聞きたい？,1332850325
円卓P,say,black,ほいよっと,1332850315
ＳＩＭ,say,green,とりあえず、お試しプレイだ。,1332850307
system,warning,red,円卓Pさんは、【円卓P、丘ガエル】を、チームとして選びました。,1332850307
円卓P,say,black,うん、こっちは選ぶように出てる,1332850298
ジリP,say,olive,たぶん、リーダーの円卓Pのところに選出ウィンドウかなんか出てるンじゃないかしら,1332850284
丘ガエル,say,teal,リーダーだけ何か選択肢出てるんじゃないかな,1332850281
出負けPOP,say,maroon,もっとも初手は　それしかないわけだが,1332850280
ダイスベーダーP,say,navy,リーダーには選択肢が出てるんじゃないかな。,1332850278
ＳＩＭ,say,green,円卓Ｐが二人選考ｗ,1332850277
Tak_ukuk,say,purple,自分の陣営がまだわかってないっす,1332850272
出負けPOP,say,maroon,リーダー任せで自由？,1332850266
出負けPOP,say,maroon,どう進行するのけ？,1332850257
Tak_ukuk,say,purple,紫はかぶってないな,1332850252
ジリP,say,olive,おねがいしやす,1332850252
ダイスベーダーP,say,navy,GOGO,1332850251
出負けPOP,say,maroon,チャット慣れもあるんで　制限なしは嬉しいけど,1332850245
円卓P,say,black,じゃあそろそろ選出してみようかね,1332850237
ＳＩＭ,say,green,陰謀カードの対応まだァ？？,1332850228
出負けPOP,say,maroon,ルール確認三区>円卓P,1332850213
ジリP,say,olive,時間制限ないんやな。ここ使うのは初めてだから助かるけど,1332850209
Tak_ukuk,say,black,ほうほう,1332850200
円卓P,say,black,2人ですぎょん,1332850189
ダイスベーダーP,say,navy,あんまり覚えてにゃー。,1332850173
出負けPOP,say,maroon,てけM１って3人じゃないのかｗｗ,1332850159
ＳＩＭ,say,green,リアルなら、4回目のところは少し光ってるっしょ,1332850155
出負けPOP,say,maroon,またかくお,1332850145
出負けPOP,say,maroon,M4noとき,1332850140
ジリP,say,olive,まぁ、失敗しなきゃなんでもいいさ～,1332850138
出負けPOP,say,maroon,まぁどっち陣営にとっても重要な問題なので,1332850135
ダイスベーダーP,say,navy,ほえー。そんなルールあったのか。リアルの時気にしてなかった気がする…。,1332850131
ＳＩＭ,say,green,4回目は2枚以上が条件だ,1332850123
出負けPOP,say,maroon,そそ＞だいすさん,1332850114
丘ガエル,say,teal,4回目は失敗させるのに失敗カード2枚か、忘れそうだな,1332850106
出負けPOP,say,maroon,その時　M４だけスパイ2人必要みたいだったｋらね,1332850106
ダイスベーダーP,say,navy,4回目ってひょっとして失敗が2枚でないと失敗じゃないって意味？,1332850099
ＳＩＭ,say,green,円卓P 丘ガエル ダイスベーダーP ＳＩＭ Tak_ukuk 出負けPOP ジリP　の順番かな、,1332850092
出負けPOP,say,maroon,このまえリアルプレイしたんよ,1332850084
円卓P,say,black,順番としては自分の次は丘さんリーダーかな？,1332850073
ＳＩＭ,say,green,です＞で負けＰ,1332850056
出負けPOP,say,maroon,さんく＞SIMさん,1332850054
ダイスベーダーP,say,navy,ん。どゆこと？,1332850049
ＳＩＭ,say,green,23344　で4回目は2人だね。ｗ,1332850036
出負けPOP,say,maroon,スパイ2人で失敗　残りはスパイ一人だっけ？,1332850030
出負けPOP,say,maroon,ルールの確認だけど　7人だとM4は,1332850015
出負けPOP,say,maroon,ｆｍｆｍ,1332849997
ＳＩＭ,say,green,あーなるほど。右に出るんだ。ごめん。もうメタが入った,1332849993
Tak_ukuk,say,black,陣営表示どこだｗｗｗ,1332849983
ジリP,say,olive,右にかいてあるぜよ　ミッション１は2人選出かな,1332849980
ダイスベーダーP,say,navy,多分？,1332849978
出負けPOP,say,maroon,ああ右か,1332849975
ＳＩＭ,say,green,分かってない。,1332849973
出負けPOP,say,maroon,わからんｗ,1332849968
Tak_ukuk,say,black,右に,1332849962
円卓P,say,black,自分の陣営みんなわかってる？,1332849952
出負けPOP,say,maroon,あ、右か,1332849950
出負けPOP,say,maroon,どこに表示されとる？,1332849944
ジリP,say,olive,スパイ３か,1332849942
出負けPOP,say,maroon,おう？,1332849935
ＳＩＭ,say,green,逆向きか。,1332849933
Tak_ukuk,say,black,はじまってるｗ,1332849931
ダイスベーダーP,say,navy,初ターンが円卓Pリーダーでもう始まってるってことかな,1332849925
円卓P,say,black,いきなりリーダーか……,1332849923
ジリP,dialog,olive,ひとりごと,1332849916
ジリP,say,olive,小鳥さん色？,1332849905
丘ガエル,say,teal,テステス,1332849904
ＳＩＭ,say,green,ζ*'ヮ')ζ＜銭ズラｗ,1332849901
円卓P,say,black,もう始まったｗ,1332849900
出負けPOP,say,maroon,ζ*'ヮ')ζ,1332849899
出負けPOP,say,black,ζ*'ヮ')ζ,1332849887
ＳＩＭ,say,green,リッチャン色にして見る,1332849882
円卓P,say,black,あ、チャットになるのか,1332849881
system,warning,red,【円卓P】が、リーダーとして選出されました。,1332849878
system,warning,red,ジリPさんが入室しました。,1332849878
system,warning,red,出負けPOPさんが入室しました。,1332849870
ＳＩＭ,say,black,テスト,1332849863
ダイスベーダーP,say,navy,どもども,1332849862
system,warning,red,Tak_ukukさんが入室しました。,1332849858
system,warning,red,ＳＩＭさんが入室しました。,1332849854
system,warning,red,ダイスベーダーPさんが入室しました。,1332849850
system,warning,red,丘ガエルさんが入室しました。,1332849822
system,warning,red,円卓Pさんが入室しました。,1332849810
